排名,代码,名称,每股分红合计,最新价,昨收,最新分红率,昨日分红率,分红率涨跌幅,是否保留,买入提醒pe,买入提醒价格,买入pb,,,,
1,002271,东方雨虹,1.85,11.61,11.67,15.934539190353144,15.85261353898886,0.08192565136428342,否,,,,,,,
2,603508,思维列控,3.2882800000000003,22.78,23.13,14.43494293239684,14.21651534803286,0.21842758436397958,否,,,,,,,
3,605368,蓝天燃气,0.8500000000000001,6.62,6.73,12.83987915407855,12.63001485884101,0.2098642952375407,是,18,,,,,,
4,000937,冀中能源,0.6,4.68,4.74,12.820512820512823,12.658227848101264,0.16228497241155893,否,,,,,,,
5,002572,索菲亚,1,8.14,8.33,12.285012285012284,12.004801920768307,0.2802103642439775,否,,,,,,,
6,603565,中谷物流,1.22,10.39,10.49,11.74205967276227,11.630123927550047,0.11193574521222338,否,,,,,,,
7,002088,鲁阳节能,0.8,7.48,7.6,10.695187165775401,10.526315789473685,0.16887137630171623,否,,,,,,,
8,603801,志邦家居,0.6,5.77,5.91,10.398613518197573,10.152284263959391,0.24632925423818186,否,,,,,,,
9,002582,好想你,1,10.02,10.07,9.980039920159681,9.930486593843098,0.049553326316583934,否,,,,,,,
10,002818,富森美,1.04,10.73,10.82,9.692451071761417,9.611829944547134,0.0806211272142825,否,,,,,,,
11,000915,华特达因,2.5,25.82,25.37,9.682416731216112,9.854158454867953,-0.171741724,是,11.2,,,,,,
12,002327,富安娜,0.62,6.51,6.49,9.523809523809526,9.553158705701078,-0.029349182,否,,,,,,,
13,603886,元祖股份,1,10.6,10.65,9.433962264150944,9.389671361502346,0.04429090264859781,否,,,,,,,
14,603167,渤海轮渡,0.8,8.7,8.72,9.195402298850576,9.174311926605505,0.021090372245071265,否,,,,,,,
15,603551,奥普科技,0.8500000000000001,9.32,9.43,9.120171673819744,9.013785790031815,0.10638588378792946,否,,,,,,,
16,600894,广日股份,0.7,7.84,7.84,8.928571428571429,8.928571428571429,0,否,,,,,,,
17,300616,尚品宅配,0.9,10.34,10.35,8.704061895551257,8.695652173913045,0.00840972163821263,否,,,,,,,
18,601567,三星电气,1.375,15.88,16.12,8.658690176322418,8.529776674937965,0.1289135013844529,否,,,,,,,
19,603095,越剑智能,1.1,13.05,13.1,8.42911877394636,8.396946564885498,0.032172209060862045,否,,,,,,,
