排名,代码,名称,每股分红合计,最新价,昨收,最新分红率,昨日分红率,分红率涨跌幅,是否保留,买入提醒pe,买入提醒价格,买入pb
4,605368,蓝天燃气,0.8500000000000001,6.58,6.55,12.917933130699089,12.977099236641225,-0.059166106,是,18,,
12,000915,华特达因,2.5,25.78,25.95,9.69743987587277,9.633911368015417,0.0635285078573542,是,11.2,,
22,600566,济川药业,2.09,24.51,25,8.527131782945736,8.36,0.1671317829457361,是,10.5,,
23,002014,永新股份,0.8999999999999999,10.76,10.58,8.364312267657992,8.506616257088846,-0.142303989,是,12.5,,
26,603165,荣晟环保,1.1,13.56,13.54,8.112094395280236,8.124076809453472,-0.011982414,是,12.3,,
37,601088,中国神华,3.24,44.72,44.34,7.2450805008944545,7.307171853856563,-0.062091353,是,,35,
51,600887,伊利股份,1.7,25.51,25.89,6.664053312426499,6.56624179219776,0.0978115202287392,是,,24,
69,600901,江苏金租,0.4,6.5,6.55,6.153846153846154,6.106870229007634,0.0469759248385202,是,,5.8,1.3
101,000895,双汇发展,1.4,24.6,24.67,5.691056910569105,5.6749087961086335,0.0161481144604715,是,15.5,,
102,600690,海尔智家,1.2342399999999998,21.76,21.79,5.672058823529411,5.664249655805414,0.0078091677239964,是,10.9,,
116,600642,申能股份,0.45,8.38,8.55,5.369928400954653,5.263157894736842,0.1067705062178117,是,,7.15,
122,603889,新澳股份,0.3,5.63,5.63,5.328596802841918,5.328596802841918,0,是,10.3,,
135,600036,招商银行,2,38.46,38.77,5.200208008320333,5.158627805003869,0.0415802033164638,是,,,0.8
138,600325,华发股份,0.124,2.4,2.5,5.166666666666667,4.960000000000001,0.2066666666666661,否,,,
145,600750,华润江中,1.2,23.81,24.08,5.03989920201596,4.983388704318937,0.0565104976970225,是,,23,
149,000651,格力电器,2,39.9,40.24,5.012531328320803,4.970178926441352,0.0423524018794507,,,,
153,603871,嘉友国际,0.6000000000000001,12.07,12.08,4.971002485501243,4.966887417218543,0.0041150682827,否,,,
154,600210,紫江企业,0.3,6.04,6.1,4.966887417218543,4.918032786885246,0.048854630333297,是,,5.9,
155,000719,中原传媒,0.6,12.08,12.15,4.966887417218543,4.938271604938271,0.0286158122802717,否,,,
156,002318,久立特材,0.97,19.53,19.85,4.966717869943675,4.886649874055415,0.0800679958882604,否,,,
157,601318,中国平安,2.57,51.75,52.8,4.966183574879227,4.867424242424242,0.0987593324549847,是,,50,
158,601186,中国铁建,0.3,6.05,6.07,4.958677685950414,4.942339373970346,0.0163383119800677,否,,,
161,601838,成都银行,0.891,18.06,18.16,4.933554817275748,4.906387665198237,0.0271671520775109,否,,,
162,600809,山西汾酒,6.0600000000000005,123.52,126.55,4.906088082901555,4.788621098380087,0.1174669845214682,否,,,
163,600039,四川路桥,0.409,8.35,8.38,4.898203592814372,4.880668257756563,0.0175353350578086,否,,,
164,000423,东阿阿胶,2.5430815000000004,51.92,52.68,4.89807684899846,4.827413629460898,0.070663219537562,是,,46,
165,000088,盐田港,0.218,4.46,4.44,4.887892376681615,4.90990990990991,-0.022017533,否,,,
166,600295,鄂尔多斯,0.6,12.34,12.47,4.862236628849271,4.811547714514835,0.0506889143344357,否,,,
167,000828,东莞控股,0.475,9.78,9.85,4.856850715746421,4.822335025380711,0.0345156903657102,是,,9,
168,600027,华电国际,0.22,4.54,4.6,4.845814977973569,4.782608695652174,0.0632062823213948,否,,,
169,603948,建业股份,1,20.65,20.63,4.842615012106538,4.847309743092584,-0.004694731,否,,,
170,002966,苏州银行,0.41,8.47,8.44,4.840613931523023,4.857819905213271,-0.017205974,否,,,
171,000625,长安汽车,0.345,7.14,7.27,4.831932773109244,4.745529573590097,0.0864031995191476,否,,,
172,603600,永艺股份,0.4599999999999999,9.53,9.48,4.826862539349422,4.852320675105485,-0.025458136,否,,,
173,002043,兔宝宝,0.6,12.45,12.58,4.819277108433735,4.769475357710651,0.0498017507230841,否,,,
174,000333,美的集团,4,83.03,84.19,4.817535830422739,4.7511580947856045,0.0663777356371344,是,,80,
175,601369,陕鼓动力,0.43,8.94,8.97,4.809843400447429,4.793756967670011,0.0160864327774179,否,,,
176,002968,新大正,0.435,9.06,9.05,4.801324503311258,4.806629834254143,-0.005305331,否,,,
177,600660,福耀玻璃,2.7,56.27,54.87,4.798293939932469,4.920721705850192,-0.122427766,是,,50,
178,000921,海信家电,1.23,25.69,26.12,4.787855196574543,4.709035222052068,0.0788199745224753,否,,,
179,603639,海利尔,0.5,10.52,10.5,4.752851711026616,4.761904761904762,-0.009053051,否,,,
180,600211,西藏药业,1.871,39.38,40.05,4.751142712036566,4.6716604244694135,0.0794822875671528,是,,37.5,
181,600997,开滦股份,0.26,5.48,5.42,4.744525547445255,4.797047970479705,-0.052522423,否,,,
182,603706,东方环宇,0.9,18.98,18.87,4.7418335089567965,4.769475357710651,-0.027641849,是,,18,
